	GSM8268694	GSM8268695	GSM8268696	GSM8268707	GSM8268708	GSM8268709
254773	36	49	64	24	1	64
129530	54	67	66	52	5	145
10190	2089	2778	2258	1075	95	2402
107985923	79	61	68	41	0	85
9669	13842	17411	15087	5808	550	15983
51455	2275	3008	2709	1321	131	3694
3899	528	800	737	351	38	1015
112268421	60	63	80	13	0	47
164832	167	196	139	196	21	530
9486	539	687	612	378	25	1002
79031	1494	1895	1603	553	47	1429
4862	363	460	424	366	34	940
6160	11879	13990	13627	6233	599	18398
11138	389	545	498	332	24	912
105373510	17	21	20	9	2	30
100506286	12	16	7	17	2	31
55571	1701	2257	1917	1053	95	2647
105373511	140	210	172	88	7	245
284996	1876	2512	2119	1116	66	2632
692205	11	14	13	7	1	16
200407	15	19	24	9	1	26
731220	28	27	26	21	1	63
9448	14668	17636	16331	8972	787	25678
3554	1847	2253	1938	1013	82	2279
8808	48	44	33	8	0	16
8809	21	32	26	19	1	22
84804	492	723	547	365	29	1065
130827	260	328	262	147	7	291
100506421	30	75	59	38	7	118
5455	2889	3104	2869	2390	168	6645
102682016	20	9	10	14	0	30
64965	1235	1599	1351	590	51	1678
101927492	235	268	278	98	6	318
9392	1879	2364	2055	1203	91	3127
100506473	403	473	448	179	13	418
79074	1569	2124	1566	1036	79	2309
2274	7486	9255	8437	2425	197	6220
8440	984	1231	1128	518	42	1363
80146	1244	1485	1414	837	57	2201
402096	32	33	23	11	3	33
653489	283	338	332	144	13	417
84620	1632	2121	1887	881	71	2327
285190	262	343	321	176	16	488
27233	13	18	20	27	2	69
9648	2448	3378	2992	2459	233	6580
644903	46	70	53	40	4	141
3987	5715	7575	5907	2468	237	6079
106182118	9	15	18	7	0	12
5903	13496	17451	15762	6816	655	19630
165055	1404	1807	1584	725	53	1827
10913	10	10	16	6	1	26
100287216	270	280	262	144	7	328
344558	1571	1828	1740	774	69	2135
151011	5608	7195	5678	3583	333	8675
65124	1709	2267	1804	715	48	1675
84220	2101	2649	2412	1067	104	2945
100271835	137	155	145	63	6	159
96626	147	166	152	65	8	174
440895	16	21	21	9	0	24
440894	47	75	61	47	2	129
7851	1469	1741	1669	659	48	1640
4867	298	389	325	243	21	740
205251	83	103	83	49	5	132
100507334	11	26	23	11	0	32
151009	19	24	33	32	2	76
100288695	249	260	243	123	15	300
100288570	17	21	19	10	1	25
105373552	56	85	78	25	4	80
729540	2108	2667	2421	1067	100	2966
699	6337	8341	7114	4406	382	11139
55289	14	7	12	21	1	66
10018	566	787	640	1342	127	3528
541471	2315	2864	2727	1537	117	4404
101927283	166	241	310	60	1	284
105373557	24	42	28	19	1	29
64682	4669	6119	5588	2334	203	6367
10461	181	232	222	209	16	564
84910	1153	1547	1302	610	54	1550
129804	361	426	347	315	26	927
84524	571	679	571	309	17	710
376940	264	312	271	256	29	792
727851	1774	2219	2008	868	85	2486
150465	6803	8677	7516	3039	253	7921
84172	2102	2594	2360	829	67	2249
101927330	27	34	34	9	1	53
84269	208	289	261	141	16	409
400999	11	10	5	7	0	27
6574	6586	8578	7610	4139	311	11068
284958	535	720	588	270	29	723
150468	5855	7489	6283	3361	324	8339
3552	24	39	39	25	3	76
3553	186	181	194	132	9	324
27178	15	15	39	20	0	56
23550	197	195	228	161	16	503
7849	94	97	99	79	9	254
654433	806	985	975	581	43	1515
101927400	70	84	80	54	6	166
150472	1350	1704	1475	705	64	2037
112268422	33	73	71	18	2	98
375260	253	268	224	200	19	544
84771	84	77	86	58	9	148
118433	337	373	344	203	31	562
11159	370	497	394	384	35	1047
112268423	12	10	15	10	2	48
80255	3289	4492	3656	1905	144	5081
10096	23843	30234	24205	7095	599	17515
8886	7602	10152	8353	2991	306	7518
107985939	79	78	71	34	6	131
54520	3836	5042	4454	2423	251	6437
51141	716	948	725	613	50	1427
55240	837	923	894	467	42	1267
100874111	90	96	116	69	9	199
105373581	129	157	164	73	8	222
